13:39:18 | start | host: 16827M/95681M (18%) | cache: 14856M | docker: 905.1MiB / 93.44GiB | gpu: 
13:39:30 | running | host: 17823M/95681M (19%) | cache: 14859M | docker: 1.524GiB / 93.44GiB | gpu: 
13:39:41 | running | host: 33061M/95681M (35%) | cache: 14941M | docker: 1.695GiB / 93.44GiB | gpu: 
13:39:52 | running | host: 31327M/95681M (33%) | cache: 14941M | docker: 13.5GiB / 93.44GiB | gpu: 
13:40:03 | running | host: 30944M/95681M (32%) | cache: 14949M | docker: 13.52GiB / 93.44GiB | gpu: 
13:40:14 | running | host: 30740M/95681M (32%) | cache: 15043M | docker: 13.5GiB / 93.44GiB | gpu: 
13:40:25 | running | host: 30554M/95681M (32%) | cache: 15045M | docker: 13.5GiB / 93.44GiB | gpu: 
13:40:36 | running | host: 30553M/95681M (32%) | cache: 15046M | docker: 13.5GiB / 93.44GiB | gpu: 
13:40:47 | running | host: 30523M/95681M (32%) | cache: 15044M | docker: 13.5GiB / 93.44GiB | gpu: 
13:40:58 | running | host: 30498M/95681M (32%) | cache: 15037M | docker: 13.5GiB / 93.44GiB | gpu: 
13:41:10 | running | host: 30446M/95681M (32%) | cache: 15039M | docker: 13.49GiB / 93.44GiB | gpu: 
